Year,Level,Division,Test,RawScore,Percentile
2025,0,Classroom Experience,Total Score,70,35
2025,0,Classroom Experience,Total Score,71,36
2025,0,Classroom Experience,Total Score,71,37
2025,0,Classroom Experience,Total Score,72,38
2025,0,Classroom Experience,Total Score,72,39
2025,0,Classroom Experience,Total Score,73,40
2025,0,Classroom Experience,Total Score,73,41
2025,0,Classroom Experience,Total Score,74,42
2025,0,Classroom Experience,Total Score,74,43
2025,0,Classroom Experience,Total Score,75,44
2025,0,Classroom Experience,Total Score,75,45
2025,0,Classroom Experience,Total Score,76,46
2025,0,Classroom Experience,Total Score,76,47
2025,0,Classroom Experience,Total Score,76,48
2025,0,Classroom Experience,Total Score,77,49
2025,0,Classroom Experience,Total Score,77,50
2025,0,Classroom Experience,Total Score,78,51
2025,0,Classroom Experience,Total Score,78,52
2025,0,Classroom Experience,Total Score,79,53
2025,0,Classroom Experience,Total Score,79,54
2025,0,Classroom Experience,Total Score,79,55
2025,0,Classroom Experience,Total Score,80,56
2025,0,Classroom Experience,Total Score,80,57
2025,0,Classroom Experience,Total Score,81,58
2025,0,Classroom Experience,Total Score,81,59
2025,0,Classroom Experience,Total Score,82,60
2025,0,Classroom Experience,Total Score,82,61
2025,0,Classroom Experience,Total Score,83,62
2025,0,Classroom Experience,Total Score,83,63
2025,0,Classroom Experience,Total Score,83,64
2025,0,Classroom Experience,Total Score,84,65
2025,0,Classroom Experience,Total Score,84,66
2025,0,Classroom Experience,Total Score,85,67
2025,0,Classroom Experience,Total Score,85,68
2025,0,Classroom Experience,Total Score,85,69
2025,0,Classroom Experience,Total Score,86,70
2025,0,Classroom Experience,Total Score,86,71
2025,0,Classroom Experience,Total Score,87,72
2025,0,Classroom Experience,Total Score,87,73
2025,0,Classroom Experience,Total Score,87,74
2025,0,Classroom Experience,Total Score,88,75
2025,0,Classroom Experience,Total Score,88,76
2025,0,Classroom Experience,Total Score,89,77
2025,0,Classroom Experience,Total Score,89,78
2025,0,Classroom Experience,Total Score,90,79
2025,0,Classroom Experience,Total Score,90,80
2025,0,Classroom Experience,Total Score,90,81
2025,0,Classroom Experience,Total Score,91,82
2025,0,Classroom Experience,Total Score,91,83
2025,0,Classroom Experience,Total Score,92,84
2025,0,Classroom Experience,Total Score,92,85
2025,0,Classroom Experience,Total Score,92,86
2025,0,Classroom Experience,Total Score,93,87
2025,0,Classroom Experience,Total Score,93,88
2025,0,Classroom Experience,Total Score,94,89
2025,0,Classroom Experience,Total Score,94,90
2025,0,Classroom Experience,Total Score,94,91
2025,0,Classroom Experience,Total Score,95,92
2025,0,Classroom Experience,Total Score,96,93
2025,0,Classroom Experience,Total Score,96,94
2025,0,Classroom Experience,Total Score,96,95
2025,0,Classroom Experience,Total Score,97,96
2025,0,Classroom Experience,Total Score,98,97
2025,0,Classroom Experience,Total Score,98,98
2025,0,Classroom Experience,Total Score,99,99
2025,0,Outside Experience,Total Score,0,0
2025,0,Outside Experience,Total Score,1,0
2025,0,Outside Experience,Total Score,2,0
2025,0,Outside Experience,Total Score,3,0
2025,0,Outside Experience,Total Score,4,0
2025,0,Outside Experience,Total Score,5,0
2025,0,Outside Experience,Total Score,6,0
2025,0,Outside Experience,Total Score,7,0
2025,0,Outside Experience,Total Score,8,1
2025,0,Outside Experience,Total Score,9,1
2025,0,Outside Experience,Total Score,10,1
2025,0,Outside Experience,Total Score,11,1
2025,0,Outside Experience,Total Score,12,1
2025,0,Outside Experience,Total Score,13,1
2025,0,Outside Experience,Total Score,14,1
2025,0,Outside Experience,Total Score,15,1
2025,0,Outside Experience,Total Score,16,1
2025,0,Outside Experience,Total Score,17,1
2025,0,Outside Experience,Total Score,18,1
2025,0,Outside Experience,Total Score,19,1
2025,0,Outside Experience,Total Score,20,1
2025,0,Outside Experience,Total Score,21,1
2025,0,Outside Experience,Total Score,22,1
2025,0,Outside Experience,Total Score,23,1
2025,0,Outside Experience,Total Score,24,1
2025,0,Outside Experience,Total Score,25,1
2025,0,Outside Experience,Total Score,26,1
2025,0,Outside Experience,Total Score,27,1
2025,0,Outside Experience,Total Score,28,1
2025,0,Outside Experience,Total Score,29,1
2025,0,Outside Experience,Total Score,30,1
2025,0,Outside Experience,Total Score,31,1
2025,0,Outside Experience,Total Score,32,1
2025,0,Outside Experience,Total Score,33,1
2025,0,Outside Experience,Total Score,34,1
2025,0,Outside Experience,Total Score,35,1
2025,0,Outside Experience,Total Score,36,1
2025,0,Outside Experience,Total Score,37,1
2025,0,Outside Experience,Total Score,38,1
2025,0,Outside Experience,Total Score,39,1
2025,0,Outside Experience,Total Score,40,1
2025,0,Outside Experience,Total Score,41,1
2025,0,Outside Experience,Total Score,42,2
2025,0,Outside Experience,Total Score,43,2
2025,0,Outside Experience,Total Score,44,2
2025,0,Outside Experience,Total Score,45,3
2025,0,Outside Experience,Total Score,46,3
2025,0,Outside Experience,Total Score,47,3
2025,0,Outside Experience,Total Score,48,3
2025,0,Outside Experience,Total Score,49,3
2025,0,Outside Experience,Total Score,50,4
2025,0,Outside Experience,Total Score,51,4
2025,0,Outside Experience,Total Score,52,4
2025,0,Outside Experience,Total Score,53,5
2025,0,Outside Experience,Total Score,54,5
2025,0,Outside Experience,Total Score,55,5
2025,0,Outside Experience,Total Score,56,5
2025,0,Outside Experience,Total Score,57,6
2025,0,Outside Experience,Total Score,58,7
2025,0,Outside Experience,Total Score,59,7
2025,0,Outside Experience,Total Score,60,8
2025,0,Outside Experience,Total Score,61,8
2025,0,Outside Experience,Total Score,62,9
2025,0,Outside Experience,Total Score,63,10
2025,0,Outside Experience,Total Score,64,11
2025,0,Outside Experience,Total Score,65,11
2025,0,Outside Experience,Total Score,66,12
2025,0,Outside Experience,Total Score,67,13
2025,0,Outside Experience,Total Score,68,14
2025,0,Outside Experience,Total Score,69,15
2025,0,Outside Experience,Total Score,70,15
2025,0,Outside Experience,Total Score,71,16
2025,0,Outside Experience,Total Score,72,17
2025,0,Outside Experience,Total Score,73,18
2025,0,Outside Experience,Total Score,73,19
2025,0,Outside Experience,Total Score,74,20
2025,0,Outside Experience,Total Score,75,21
2025,0,Outside Experience,Total Score,75,22
2025,0,Outside Experience,Total Score,76,23
2025,0,Outside Experience,Total Score,77,24
2025,0,Outside Experience,Total Score,78,25
2025,0,Outside Experience,Total Score,79,26
2025,0,Outside Experience,Total Score,80,27
2025,0,Outside Experience,Total Score,81,28
2025,0,Outside Experience,Total Score,81,29
2025,0,Outside Experience,Total Score,82,30
2025,0,Outside Experience,Total Score,83,31
2025,0,Outside Experience,Total Score,83,32
2025,0,Outside Experience,Total Score,83,33
2025,0,Outside Experience,Total Score,83,34
2025,0,Outside Experience,Total Score,84,35
2025,0,Outside Experience,Total Score,84,36
2025,0,Outside Experience,Total Score,85,37
2025,0,Outside Experience,Total Score,86,38
2025,0,Outside Experience,Total Score,86,39
2025,0,Outside Experience,Total Score,87,40
2025,0,Outside Experience,Total Score,87,41
2025,0,Outside Experience,Total Score,88,42
2025,0,Outside Experience,Total Score,88,43
2025,0,Outside Experience,Total Score,89,44
2025,0,Outside Experience,Total Score,89,45
2025,0,Outside Experience,Total Score,89,46
2025,0,Outside Experience,Total Score,90,47
2025,0,Outside Experience,Total Score,90,48
2025,0,Outside Experience,Total Score,90,49
2025,0,Outside Experience,Total Score,90,50
2025,0,Outside Experience,Total Score,91,51
2025,0,Outside Experience,Total Score,91,52
2025,0,Outside Experience,Total Score,92,53
2025,0,Outside Experience,Total Score,92,54
2025,0,Outside Experience,Total Score,92,55
2025,0,Outside Experience,Total Score,92,56
2025,0,Outside Experience,Total Score,92,57
2025,0,Outside Experience,Total Score,93,58
2025,0,Outside Experience,Total Score,93,59
2025,0,Outside Experience,Total Score,93,60
2025,0,Outside Experience,Total Score,93,61
2025,0,Outside Experience,Total Score,93,62
2025,0,Outside Experience,Total Score,93,63
2025,0,Outside Experience,Total Score,94,64
2025,0,Outside Experience,Total Score,94,65
2025,0,Outside Experience,Total Score,94,66
2025,0,Outside Experience,Total Score,94,67
2025,0,Outside Experience,Total Score,95,68
2025,0,Outside Experience,Total Score,95,69
2025,0,Outside Experience,Total Score,95,70
2025,0,Outside Experience,Total Score,95,71
2025,0,Outside Experience,Total Score,95,72
2025,0,Outside Experience,Total Score,95,73
2025,0,Outside Experience,Total Score,95,74
2025,0,Outside Experience,Total Score,95,75
2025,0,Outside Experience,Total Score,96,76
2025,0,Outside Experience,Total Score,96,77
2025,0,Outside Experience,Total Score,96,78
2025,0,Outside Experience,Total Score,96,79
2025,0,Outside Experience,Total Score,96,80
2025,0,Outside Experience,Total Score,96,81
2025,0,Outside Experience,Total Score,96,82
2025,0,Outside Experience,Total Score,96,83
2025,0,Outside Experience,Total Score,97,84
2025,0,Outside Experience,Total Score,97,85
2025,0,Outside Experience,Total Score,97,86
2025,0,Outside Experience,Total Score,97,87
2025,0,Outside Experience,Total Score,97,88
2025,0,Outside Experience,Total Score,98,89
2025,0,Outside Experience,Total Score,98,90
2025,0,Outside Experience,Total Score,98,91
2025,0,Outside Experience,Total Score,99,92
2025,0,Outside Experience,Total Score,99,93
2025,0,Outside Experience,Total Score,99,94
2025,0,Outside Experience,Total Score,99,95
2025,0,Outside Experience,Total Score,99,96
2025,0,Outside Experience,Total Score,99,97
2025,0,Outside Experience,Total Score,100,98
2025,0,Outside Experience,Total Score,100,99
2025,0,Bilingual,Total Score,0,0
2025,0,Bilingual,Total Score,1,0
2025,0,Bilingual,Total Score,2,0
2025,0,Bilingual,Total Score,3,0
2025,0,Bilingual,Total Score,4,0
2025,0,Bilingual,Total Score,5,0
2025,0,Bilingual,Total Score,6,0
2025,0,Bilingual,Total Score,7,0
2025,0,Bilingual,Total Score,8,0
2025,0,Bilingual,Total Score,9,0
2025,0,Bilingual,Total Score,10,0
2025,0,Bilingual,Total Score,11,0
2025,0,Bilingual,Total Score,12,0
2025,0,Bilingual,Total Score,13,0
2025,0,Bilingual,Total Score,14,0
2025,0,Bilingual,Total Score,15,0
2025,0,Bilingual,Total Score,16,1
2025,0,Bilingual,Total Score,17,1
2025,0,Bilingual,Total Score,18,1
2025,0,Bilingual,Total Score,19,1
2025,0,Bilingual,Total Score,20,1
2025,0,Bilingual,Total Score,21,1
2025,0,Bilingual,Total Score,22,1
2025,0,Bilingual,Total Score,23,1
2025,0,Bilingual,Total Score,24,1
2025,0,Bilingual,Total Score,25,1
2025,0,Bilingual,Total Score,26,1
2025,0,Bilingual,Total Score,27,1
2025,0,Bilingual,Total Score,28,1
2025,0,Bilingual,Total Score,29,1
2025,0,Bilingual,Total Score,30,1
2025,0,Bilingual,Total Score,31,1
2025,0,Bilingual,Total Score,32,1
2025,0,Bilingual,Total Score,33,1
2025,0,Bilingual,Total Score,34,1
2025,0,Bilingual,Total Score,35,1
2025,0,Bilingual,Total Score,36,1
2025,0,Bilingual,Total Score,37,1
2025,0,Bilingual,Total Score,38,1
2025,0,Bilingual,Total Score,39,1
2025,0,Bilingual,Total Score,40,1
2025,0,Bilingual,Total Score,41,1
2025,0,Bilingual,Total Score,42,2
2025,0,Bilingual,Total Score,43,2
2025,0,Bilingual,Total Score,44,2
2025,0,Bilingual,Total Score,45,2
2025,0,Bilingual,Total Score,46,2
2025,0,Bilingual,Total Score,47,2
2025,0,Bilingual,Total Score,48,2
2025,0,Bilingual,Total Score,49,2
2025,0,Bilingual,Total Score,50,2
2025,0,Bilingual,Total Score,51,2
2025,0,Bilingual,Total Score,52,2
2025,0,Bilingual,Total Score,53,3
2025,0,Bilingual,Total Score,54,3
2025,0,Bilingual,Total Score,55,3
2025,0,Bilingual,Total Score,56,3
2025,0,Bilingual,Total Score,57,4
2025,0,Bilingual,Total Score,58,4
2025,0,Bilingual,Total Score,59,4
2025,0,Bilingual,Total Score,60,4
2025,0,Bilingual,Total Score,61,4
2025,0,Bilingual,Total Score,62,4
2025,0,Bilingual,Total Score,63,4
2025,0,Bilingual,Total Score,64,4
2025,0,Bilingual,Total Score,65,4
2025,0,Bilingual,Total Score,66,4
2025,0,Bilingual,Total Score,67,4
2025,0,Bilingual,Total Score,68,5
2025,0,Bilingual,Total Score,69,6
2025,0,Bilingual,Total Score,70,7
2025,0,Bilingual,Total Score,71,7
2025,0,Bilingual,Total Score,72,7
2025,0,Bilingual,Total Score,73,7
2025,0,Bilingual,Total Score,74,7
2025,0,Bilingual,Total Score,75,8
2025,0,Bilingual,Total Score,75,9
2025,0,Bilingual,Total Score,76,10
2025,0,Bilingual,Total Score,77,11
2025,0,Bilingual,Total Score,78,12
2025,0,Bilingual,Total Score,79,13
2025,0,Bilingual,Total Score,79,14
2025,0,Bilingual,Total Score,80,15
2025,0,Bilingual,Total Score,81,16
2025,0,Bilingual,Total Score,81,17
2025,0,Bilingual,Total Score,82,18
2025,0,Bilingual,Total Score,83,19
2025,0,Bilingual,Total Score,83,20
2025,0,Bilingual,Total Score,84,21
2025,0,Bilingual,Total Score,84,22
2025,0,Bilingual,Total Score,85,23
2025,0,Bilingual,Total Score,86,24
2025,0,Bilingual,Total Score,86,25
2025,0,Bilingual,Total Score,87,26
2025,0,Bilingual,Total Score,88,27
2025,0,Bilingual,Total Score,88,28
2025,0,Bilingual,Total Score,88,29
2025,0,Bilingual,Total Score,88,30
2025,0,Bilingual,Total Score,89,31
2025,0,Bilingual,Total Score,89,32
2025,0,Bilingual,Total Score,89,33
2025,0,Bilingual,Total Score,89,34
2025,0,Bilingual,Total Score,90,35
2025,0,Bilingual,Total Score,91,36
2025,0,Bilingual,Total Score,91,37
2025,0,Bilingual,Total Score,91,38
2025,0,Bilingual,Total Score,91,39
2025,0,Bilingual,Total Score,91,40
2025,0,Bilingual,Total Score,92,41
2025,0,Bilingual,Total Score,92,42
2025,0,Bilingual,Total Score,92,43
2025,0,Bilingual,Total Score,92,44
2025,0,Bilingual,Total Score,92,45
2025,0,Bilingual,Total Score,93,46
2025,0,Bilingual,Total Score,93,47
2025,0,Bilingual,Total Score,93,48
2025,0,Bilingual,Total Score,93,49
2025,0,Bilingual,Total Score,93,50
2025,0,Bilingual,Total Score,93,51
2025,0,Bilingual,Total Score,93,52
2025,0,Bilingual,Total Score,94,53
2025,0,Bilingual,Total Score,94,54
2025,0,Bilingual,Total Score,94,55
2025,0,Bilingual,Total Score,94,56
2025,0,Bilingual,Total Score,94,57
2025,0,Bilingual,Total Score,94,58
2025,0,Bilingual,Total Score,94,59
2025,0,Bilingual,Total Score,94,60
2025,0,Bilingual,Total Score,95,61
2025,0,Bilingual,Total Score,95,62
2025,0,Bilingual,Total Score,95,63
2025,0,Bilingual,Total Score,95,64
2025,0,Bilingual,Total Score,95,65
2025,0,Bilingual,Total Score,95,66
2025,0,Bilingual,Total Score,95,67
2025,0,Bilingual,Total Score,96,68
2025,0,Bilingual,Total Score,96,69
2025,0,Bilingual,Total Score,96,70
2025,0,Bilingual,Total Score,96,71
2025,0,Bilingual,Total Score,96,72
2025,0,Bilingual,Total Score,96,73
2025,0,Bilingual,Total Score,97,74
2025,0,Bilingual,Total Score,97,75
2025,0,Bilingual,Total Score,97,76
2025,0,Bilingual,Total Score,97,77
2025,0,Bilingual,Total Score,97,78
2025,0,Bilingual,Total Score,97,79
2025,0,Bilingual,Total Score,97,80
2025,0,Bilingual,Total Score,98,81
2025,0,Bilingual,Total Score,98,82
2025,0,Bilingual,Total Score,98,83
2025,0,Bilingual,Total Score,98,84
2025,0,Bilingual,Total Score,98,85
2025,0,Bilingual,Total Score,98,86
2025,0,Bilingual,Total Score,98,87
2025,0,Bilingual,Total Score,98,88
2025,0,Bilingual,Total Score,98,89
2025,0,Bilingual,Total Score,99,90
2025,0,Bilingual,Total Score,99,91
2025,0,Bilingual,Total Score,99,92
2025,0,Bilingual,Total Score,99,93
2025,0,Bilingual,Total Score,99,94
2025,0,Bilingual,Total Score,99,95
2025,0,Bilingual,Total Score,100,96
2025,0,Bilingual,Total Score,100,97
2025,0,Bilingual,Total Score,100,98
2025,0,Bilingual,Total Score,100,99
2025,1,Classroom Experience,Total Score,0,0
2025,1,Classroom Experience,Total Score,1,1
2025,1,Classroom Experience,Total Score,2,1
2025,1,Classroom Experience,Total Score,3,1
2025,1,Classroom Experience,Total Score,4,1
2025,1,Classroom Experience,Total Score,5,1
2025,1,Classroom Experience,Total Score,6,1
2025,1,Classroom Experience,Total Score,7,1
2025,1,Classroom Experience,Total Score,8,1
2025,1,Classroom Experience,Total Score,9,1
2025,1,Classroom Experience,Total Score,10,1
2025,1,Classroom Experience,Total Score,11,1
2025,1,Classroom Experience,Total Score,12,1
2025,1,Classroom Experience,Total Score,13,1
2025,1,Classroom Experience,Total Score,14,1
2025,1,Classroom Experience,Total Score,15,1
2025,1,Classroom Experience,Total Score,16,1
2025,1,Classroom Experience,Total Score,17,1
2025,1,Classroom Experience,Total Score,18,2
2025,1,Classroom Experience,Total Score,19,2
2025,1,Classroom Experience,Total Score,20,2
2025,1,Classroom Experience,Total Score,21,2
2025,1,Classroom Experience,Total Score,22,2
2025,1,Classroom Experience,Total Score,23,2
2025,1,Classroom Experience,Total Score,24,2
2025,1,Classroom Experience,Total Score,25,3
2025,1,Classroom Experience,Total Score,26,3
2025,1,Classroom Experience,Total Score,27,3
2025,1,Classroom Experience,Total Score,28,3
2025,1,Classroom Experience,Total Score,29,3
2025,1,Classroom Experience,Total Score,30,4
2025,1,Classroom Experience,Total Score,31,4
2025,1,Classroom Experience,Total Score,32,4
2025,1,Classroom Experience,Total Score,33,5
2025,1,Classroom Experience,Total Score,34,5
2025,1,Classroom Experience,Total Score,35,5
2025,1,Classroom Experience,Total Score,36,6
2025,1,Classroom Experience,Total Score,37,6
2025,1,Classroom Experience,Total Score,38,7
2025,1,Classroom Experience,Total Score,39,8
2025,1,Classroom Experience,Total Score,40,8
2025,1,Classroom Experience,Total Score,41,9
2025,1,Classroom Experience,Total Score,42,10
2025,1,Classroom Experience,Total Score,43,10
2025,1,Classroom Experience,Total Score,44,11
2025,1,Classroom Experience,Total Score,45,12
2025,1,Classroom Experience,Total Score,46,13
2025,1,Classroom Experience,Total Score,47,14
2025,1,Classroom Experience,Total Score,48,15
2025,1,Classroom Experience,Total Score,49,16
2025,1,Classroom Experience,Total Score,50,17
2025,1,Classroom Experience,Total Score,50,18
2025,1,Classroom Experience,Total Score,51,19
2025,1,Classroom Experience,Total Score,52,20
2025,1,Classroom Experience,Total Score,53,21
2025,1,Classroom Experience,Total Score,54,22
2025,1,Classroom Experience,Total Score,54,23
2025,1,Classroom Experience,Total Score,55,24
2025,1,Classroom Experience,Total Score,56,25
2025,1,Classroom Experience,Total Score,57,26
2025,1,Classroom Experience,Total Score,57,27
2025,1,Classroom Experience,Total Score,58,28
2025,1,Classroom Experience,Total Score,58,29
2025,1,Classroom Experience,Total Score,59,30
2025,1,Classroom Experience,Total Score,60,31
2025,1,Classroom Experience,Total Score,60,32
2025,1,Classroom Experience,Total Score,61,33
2025,1,Classroom Experience,Total Score,62,34
2025,1,Classroom Experience,Total Score,62,35
2025,1,Classroom Experience,Total Score,63,36
2025,1,Classroom Experience,Total Score,63,37
2025,1,Classroom Experience,Total Score,64,38
2025,1,Classroom Experience,Total Score,64,39
2025,1,Classroom Experience,Total Score,65,40
2025,1,Classroom Experience,Total Score,66,41
2025,1,Classroom Experience,Total Score,66,42
2025,1,Classroom Experience,Total Score,67,43
2025,1,Classroom Experience,Total Score,67,44
2025,1,Classroom Experience,Total Score,68,45
2025,1,Classroom Experience,Total Score,68,46
2025,1,Classroom Experience,Total Score,69,47
2025,1,Classroom Experience,Total Score,69,48
2025,1,Classroom Experience,Total Score,70,49
2025,1,Classroom Experience,Total Score,70,50
2025,1,Classroom Experience,Total Score,71,51
2025,1,Classroom Experience,Total Score,71,52
2025,1,Classroom Experience,Total Score,72,53
2025,1,Classroom Experience,Total Score,73,54
2025,1,Classroom Experience,Total Score,73,55
2025,1,Classroom Experience,Total Score,73,56
2025,1,Classroom Experience,Total Score,74,57
2025,1,Classroom Experience,Total Score,75,58
2025,1,Classroom Experience,Total Score,75,59
2025,1,Classroom Experience,Total Score,76,60
2025,1,Classroom Experience,Total Score,76,61
2025,1,Classroom Experience,Total Score,77,62
2025,1,Classroom Experience,Total Score,77,63
2025,1,Classroom Experience,Total Score,78,64
2025,1,Classroom Experience,Total Score,78,65
2025,1,Classroom Experience,Total Score,78,66
2025,1,Classroom Experience,Total Score,79,67
2025,1,Classroom Experience,Total Score,79,68
2025,1,Classroom Experience,Total Score,80,69
2025,1,Classroom Experience,Total Score,80,70
2025,1,Classroom Experience,Total Score,81,71
2025,1,Classroom Experience,Total Score,81,72
2025,1,Classroom Experience,Total Score,82,73
2025,1,Classroom Experience,Total Score,82,74
2025,1,Classroom Experience,Total Score,83,75
2025,1,Classroom Experience,Total Score,83,76
2025,1,Classroom Experience,Total Score,84,77
2025,1,Classroom Experience,Total Score,84,78
2025,1,Classroom Experience,Total Score,85,79
2025,1,Classroom Experience,Total Score,85,80
2025,1,Classroom Experience,Total Score,86,81
2025,1,Classroom Experience,Total Score,86,82
2025,1,Classroom Experience,Total Score,87,83
2025,1,Classroom Experience,Total Score,87,84
2025,1,Classroom Experience,Total Score,88,85
2025,1,Classroom Experience,Total Score,88,86
2025,1,Classroom Experience,Total Score,89,87
2025,1,Classroom Experience,Total Score,89,88
2025,1,Classroom Experience,Total Score,90,89
2025,1,Classroom Experience,Total Score,90,90
2025,1,Classroom Experience,Total Score,91,91
2025,1,Classroom Experience,Total Score,92,92
2025,1,Classroom Experience,Total Score,92,93
2025,1,Classroom Experience,Total Score,93,94
2025,1,Classroom Experience,Total Score,94,95
2025,1,Classroom Experience,Total Score,94,96
2025,1,Classroom Experience,Total Score,95,97
2025,1,Classroom Experience,Total Score,96,98
2025,1,Classroom Experience,Total Score,97,99
2025,1,Outside Experience,Total Score,0,0
2025,1,Outside Experience,Total Score,1,1
2025,1,Outside Experience,Total Score,2,1
2025,1,Outside Experience,Total Score,3,1
2025,1,Outside Experience,Total Score,4,1
2025,1,Outside Experience,Total Score,5,1
2025,1,Outside Experience,Total Score,6,1
2025,1,Outside Experience,Total Score,7,1
2025,1,Outside Experience,Total Score,8,1
2025,1,Outside Experience,Total Score,9,1
2025,1,Outside Experience,Total Score,10,1
2025,1,Outside Experience,Total Score,11,1
2025,1,Outside Experience,Total Score,12,1
2025,1,Outside Experience,Total Score,13,1
2025,1,Outside Experience,Total Score,14,1
2025,1,Outside Experience,Total Score,15,1
2025,1,Outside Experience,Total Score,16,1
2025,1,Outside Experience,Total Score,17,1
2025,1,Outside Experience,Total Score,18,1
2025,1,Outside Experience,Total Score,19,1
2025,1,Outside Experience,Total Score,20,1
2025,1,Outside Experience,Total Score,21,1
2025,1,Outside Experience,Total Score,22,1
2025,1,Outside Experience,Total Score,23,1
2025,1,Outside Experience,Total Score,24,1
2025,1,Outside Experience,Total Score,25,1
2025,1,Outside Experience,Total Score,26,2
2025,1,Outside Experience,Total Score,27,2
2025,1,Outside Experience,Total Score,28,2
2025,1,Outside Experience,Total Score,29,2
2025,1,Outside Experience,Total Score,30,2
2025,1,Outside Experience,Total Score,31,2
2025,1,Outside Experience,Total Score,32,3
2025,1,Outside Experience,Total Score,33,3
2025,1,Outside Experience,Total Score,34,3
2025,1,Outside Experience,Total Score,35,3
2025,1,Outside Experience,Total Score,36,3
2025,1,Outside Experience,Total Score,37,3
2025,1,Outside Experience,Total Score,38,4
2025,1,Outside Experience,Total Score,39,4
2025,1,Outside Experience,Total Score,40,4
2025,1,Outside Experience,Total Score,41,4
2025,1,Outside Experience,Total Score,42,5
2025,1,Outside Experience,Total Score,43,5
2025,1,Outside Experience,Total Score,44,5
2025,1,Outside Experience,Total Score,45,6
2025,1,Outside Experience,Total Score,46,6
2025,1,Outside Experience,Total Score,47,6
2025,1,Outside Experience,Total Score,48,6
2025,1,Outside Experience,Total Score,49,7
2025,1,Outside Experience,Total Score,50,7
2025,1,Outside Experience,Total Score,51,7
2025,1,Outside Experience,Total Score,52,8
2025,1,Outside Experience,Total Score,53,8
2025,1,Outside Experience,Total Score,54,9
2025,1,Outside Experience,Total Score,55,9
2025,1,Outside Experience,Total Score,56,10
2025,1,Outside Experience,Total Score,57,11
2025,1,Outside Experience,Total Score,58,12
2025,1,Outside Experience,Total Score,59,12
2025,1,Outside Experience,Total Score,60,13
2025,1,Outside Experience,Total Score,61,14
2025,1,Outside Experience,Total Score,62,15
2025,1,Outside Experience,Total Score,63,16
